"Pozo","Estado","Acuífero","Elev.Brocal","Latitud","Longitud","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"SMV31","Baja California Sur","SAN MARCOS-PALO VERDE","299.72","27.075864","-112.304742","","","","","","","","","","","","","","","","","","16.16","","","","","","","","","","","",""
"SMV30","Baja California Sur","SAN MARCOS-PALO VERDE","252.39","27.054339","-112.267586","","","","","","","","","","","","","","","","","","4.88","","","","","","","","","","","",""
"SMV29","Baja California Sur","SAN MARCOS-PALO VERDE","242.00","27.061694","-112.250806","","","","","","","","","","","","","","","","","","5.38","","","","","","","","","","","",""
"SMV28","Baja California Sur","SAN MARCOS-PALO VERDE","243.00","27.061564","-112.251119","","","","","","","","","","","","","","","","","","3.79","","","","","","","","","","","",""
"SMV27","Baja California Sur","SAN MARCOS-PALO VERDE","230.03","27.061694","-112.250831","","","","","","","","","","","","","","","","","","2.16","","","","","","","","","","","",""
"SMV26","Baja California Sur","SAN MARCOS-PALO VERDE","243.00","27.061856","-112.251492","","","","","","","","","","","","","","","","","","10.5","","","","","","","","","","","",""
"SMV25","Baja California Sur","SAN MARCOS-PALO VERDE","235.00","27.065381","-112.2446","","","","","","","","","","","","","","","","","","7.66","","","","","","","","","","","",""
"SMV24","Baja California Sur","SAN MARCOS-PALO VERDE","231.00","27.065469","-112.2444","","","","","","","","","","","","","","","","","","7.37","","","","","","","","","","","",""
"SMV23","Baja California Sur","SAN MARCOS-PALO VERDE","232.00","27.064656","-112.244767","","","","","","","","","","","","","","","","","","4.79","","","","","","","","","","","",""
"SMV22","Baja California Sur","SAN MARCOS-PALO VERDE","239.00","27.064758","-112.245578","","","","","","","","","","","","","","","","","","12.75","","","","","","","","","","","",""
"SMV21","Baja California Sur","SAN MARCOS-PALO VERDE","228.44","27.064292","-112.245819","","","","","","","","","","","","","","","","","","5.62","","","","","","","","","","","",""
"SMV20","Baja California Sur","SAN MARCOS-PALO VERDE","231.00","27.064475","-112.245286","","","","","","","","","","","","","","","","","","5.32","","","","","","","","","","","",""
"SMV19","Baja California Sur","SAN MARCOS-PALO VERDE","217.60","27.062614","-112.23715","","","","","","","","","","","","","","","","","","9.63","","","","","","","","","","","",""
"SMV17","Baja California Sur","SAN MARCOS-PALO VERDE","9.00","27.056206","-112.048539","7.65","7.9","","8","8.2","8.13","8.27","","","","","8.06","","","","","","7.79","","","","","","","","","","","",""
"SMV16","Baja California Sur","SAN MARCOS-PALO VERDE","7.24","27.052639","-112.04625","","6.67","","6.5","6.75","6.79","6.84","","","","","10.61","","","","","","6.26","","","","","","","","","","","",""
"SMV15","Baja California Sur","SAN MARCOS-PALO VERDE","9.13","27.053703","-112.050714","9.1","","","","","","","","","","","","","","","","","8.4","","","","","","","","","","","",""
"SMV14","Baja California Sur","SAN MARCOS-PALO VERDE","16.00","27.052461","-112.058497","","","","","","","","","","","","","","","","","","14.1","","","","","","","","","","","",""
